Page ID: 9, PageRank: 0.023737668805036794
Page ID: 98, PageRank: 0.021425260697587885
Page ID: 36, PageRank: 0.021086898527560953
Page ID: 95, PageRank: 0.020658603500826912
Page ID: 52, PageRank: 0.02055667378798646
Page ID: 90, PageRank: 0.019288614017744565
Page ID: 55, PageRank: 0.019116760052990463
Page ID: 89, PageRank: 0.018613330730482512
Page ID: 64, PageRank: 0.01755706808129339
Page ID: 32, PageRank: 0.017225804200489008
Page ID: 46, PageRank: 0.01703779780880204
Page ID: 10, PageRank: 0.01656654900828674
Page ID: 26, PageRank: 0.01637026468496859
Page ID: 56, PageRank: 0.014932768351549459
Page ID: 75, PageRank: 0.014460346218570048
Page ID: 7, PageRank: 0.014109747677995263
Page ID: 78, PageRank: 0.013995425924843308
Page ID: 87, PageRank: 0.013942598025331522
Page ID: 27, PageRank: 0.013736916339663275
Page ID: 23, PageRank: 0.013359637119234262
Page ID: 45, PageRank: 0.013352289274766773
Page ID: 76, PageRank: 0.012713314645453909
Page ID: 91, PageRank: 0.012521950176147536
Page ID: 50, PageRank: 0.012477775779061388
Page ID: 65, PageRank: 0.012045433152041568
Page ID: 38, PageRank: 0.011805208647131924
Page ID: 83, PageRank: 0.011713037990918914
Page ID: 84, PageRank: 0.011705757823386453
Page ID: 47, PageRank: 0.010917414489080155
Page ID: 37, PageRank: 0.010758671500861891
Page ID: 15, PageRank: 0.01075378004547094
Page ID: 81, PageRank: 0.010631405193853364
Page ID: 19, PageRank: 0.01059619095488374
Page ID: 20, PageRank: 0.010535419821252867
Page ID: 16, PageRank: 0.010527442393946004
Page ID: 60, PageRank: 0.010387570061518893
Page ID: 71, PageRank: 0.010058365979627386
Page ID: 96, PageRank: 0.01004547586034434
Page ID: 59, PageRank: 0.009974148260362923
Page ID: 58, PageRank: 0.009946017918477022
Page ID: 2, PageRank: 0.009711737500810131
Page ID: 17, PageRank: 0.009629319208854414
Page ID: 49, PageRank: 0.009617386857825616
Page ID: 57, PageRank: 0.009614085174541827
Page ID: 29, PageRank: 0.009598699691291212
Page ID: 80, PageRank: 0.009434259547741951
Page ID: 97, PageRank: 0.009328104246579913
Page ID: 53, PageRank: 0.009120068712541557
Page ID: 31, PageRank: 0.00910105258596691
Page ID: 39, PageRank: 0.00890417367069629
Page ID: 88, PageRank: 0.008872033419323022
Page ID: 4, PageRank: 0.00883596649920146
Page ID: 12, PageRank: 0.008766775112203097
Page ID: 14, PageRank: 0.0087477771965914
Page ID: 51, PageRank: 0.008672984926360884
Page ID: 34, PageRank: 0.008422759101990496
Page ID: 24, PageRank: 0.008379243332010886
Page ID: 21, PageRank: 0.008376529345826108
Page ID: 70, PageRank: 0.008336283090314296
Page ID: 42, PageRank: 0.00831483748682486
Page ID: 62, PageRank: 0.008250114903793956
Page ID: 33, PageRank: 0.008238913636601581
Page ID: 93, PageRank: 0.008211255036964708
Page ID: 85, PageRank: 0.008193716005031857
Page ID: 79, PageRank: 0.008015549857327747
Page ID: 40, PageRank: 0.007895840271415091
Page ID: 67, PageRank: 0.007867655563477224
Page ID: 63, PageRank: 0.007765391716321178
Page ID: 3, PageRank: 0.0077263170766534075
Page ID: 61, PageRank: 0.0074193499660782005
Page ID: 82, PageRank: 0.0073714357921587925
Page ID: 66, PageRank: 0.007206265879154294
Page ID: 92, PageRank: 0.007190345143242773
Page ID: 35, PageRank: 0.007084334859490967
Page ID: 54, PageRank: 0.007082120687235724
Page ID: 69, PageRank: 0.00706462652094093
Page ID: 41, PageRank: 0.007048112937619418
Page ID: 18, PageRank: 0.007042698943443027
Page ID: 0, PageRank: 0.006684195032104353
Page ID: 43, PageRank: 0.006646989846367012
Page ID: 28, PageRank: 0.006606803801563038
Page ID: 8, PageRank: 0.006485502345559762
Page ID: 44, PageRank: 0.0064068968913770785
Page ID: 77, PageRank: 0.006291827290407143
Page ID: 86, PageRank: 0.0059616435908862
Page ID: 99, PageRank: 0.005959397867941569
Page ID: 1, PageRank: 0.00572495558868699
Page ID: 6, PageRank: 0.005685388222283339
Page ID: 22, PageRank: 0.005584463402206672
Page ID: 72, PageRank: 0.005353181997120475
Page ID: 25, PageRank: 0.005107962019510836
Page ID: 11, PageRank: 0.0050323994742996255
Page ID: 74, PageRank: 0.004962221521299125
Page ID: 68, PageRank: 0.0049126394871084195
Page ID: 30, PageRank: 0.004640709955191176
Page ID: 48, PageRank: 0.0034219156479883836
Page ID: 94, PageRank: 0.0033340971156635797
Page ID: 5, PageRank: 0.0026995013991347777
Page ID: 13, PageRank: 0.0026809451865702698
Page ID: 73, PageRank: 0.002112837282451408
